top - 01:27:59 up  1:54,  4 users,  load average: 3.63, 1.55, 0.99
Tasks: 217 total,   2 running, 207 sleeping,   8 stopped,   0 zombie
%Cpu(s):  6.5 us, 38.7 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi, 54.8 si,  0.0 st 
MiB Mem :   3403.7 total,    125.1 free,   2344.7 used,    793.3 buff/cache     
MiB Swap:   3915.0 total,   3579.2 free,    335.8 used.   1059.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1131 root      20   0  470932  11040   9760 S   0.0   0.3   0:00.30 udisksd
   1156 syslog    20   0  220732   4388   3748 S   0.0   0.1   0:00.23 rsyslogd
   1161 avahi     20   0    6608   1388   1252 S   0.0   0.0   0:00.00 avahi-d+
   1205 root      20   0   18416   4140   4012 S   0.0   0.1   0:00.07 wpa_sup+
   1237 root      20   0  391392   8228   7460 S   0.0   0.2   0:00.10 ModemMa+
   1385 root      20   0  123968  18684   9376 S   0.0   0.5   0:00.10 unatten+
   1523 root      20   0  340320  13564  12412 S   0.0   0.4   0:00.89 Network+
   1671 root      20   0  313452   8872   7976 S   0.0   0.3   0:00.13 gdm3
   1714 rtkit     21   1   21860   3088   2960 S   0.0   0.1   0:00.14 rtkit-d+
   1819 colord    20   0  319356   9128   8500 S   0.0   0.3   0:00.21 colord
   1859 root      20   0  395860   9232   8080 S   0.0   0.3   0:00.93 upowerd
   2071 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   2297 root      20   0  388972  10492   9468 S   0.0   0.3   0:00.10 gdm-ses+
   2323 anass     20   0   23656  13120  10560 S   0.0   0.4   0:01.88 systemd
   2324 anass     20   0   22476   1828   1760 S   0.0   0.1   0:00.00 (sd-pam)
   2338 anass     20   0    7776   3528   3400 S   0.0   0.1   0:00.03 mpris-p+
   2340 anass      9 -11  173160  10132   7632 S   0.0   0.3   0:02.27 pipewire
   2341 anass     20   0   88096   4700   4444 S   0.0   0.1   0:00.01 pipewire
   2343 anass      9 -11  483448  14016  11456 S   0.0   0.4   0:00.84 wireplu+
   2344 anass      9 -11  183400  13256   9640 S   0.0   0.4   0:00.45 pipewir+
   2346 anass     20   0  186500   9040   8400 S   0.0   0.3   0:00.16 gnome-k+
   2349 anass     20   0   10540   6796   4492 S   0.0   0.2   0:01.16 dbus-da+
   2362 anass     20   0  617764   6940   6428 S   0.0   0.2   0:00.09 xdg-doc+
   2386 anass     20   0  170880   6068   5812 S   0.0   0.2   0:00.01 gdm-way+
   2391 anass     20   0  198716  11020  10892 S   0.0   0.3   0:00.03 gnome-s+
   2426 anass     20   0  310608   6188   5804 S   0.0   0.2   0:00.02 xdg-per+
   2467 root      20   0    2772   2024   2024 S   0.0   0.1   0:00.00 fusermo+
   2519 anass     20   0   97716   6496   6240 S   0.0   0.2   0:00.00 gcr-ssh+
   2520 anass     20   0   90120   5216   5088 S   0.0   0.1   0:00.00 gnome-s+
   2528 anass     20   0  315576   7492   7108 S   0.0   0.2   0:00.09 gvfsd
   2549 anass     20   0  394956   7184   6800 S   0.0   0.2   0:00.00 gvfsd-f+
   2675 anass     20   0  633932  13268  12116 S   0.0   0.4   0:00.21 gnome-s+
   2790 anass     20   0  381472   7288   6904 S   0.0   0.2   0:00.05 at-spi-+
   2825 anass     20   0    8884   4752   4368 S   0.0   0.1   0:00.05 dbus-da+
   2858 anass     20   0  169120   6852   6468 S   0.0   0.2   0:00.03 at-spi2+
   2882 anass     20   0  660180  18616  16504 S   0.0   0.5   0:00.22 gnome-s+
   2893 anass     20   0  830764  36512  27936 S   0.0   1.0   0:00.29 evoluti+
   2894 anass     20   0  165436   5980   5596 S   0.0   0.2   0:00.10 dconf-s+
   2899 anass     20   0 2524824  20332  17260 S   0.0   0.6   0:00.11 gjs
   2912 anass     20   0  388368   9308   7432 S   0.0   0.3   0:03.40 ibus-da+
   2913 anass     20   0  245048   6736   6352 S   0.0   0.2   0:00.03 gsd-a11+
   2914 anass     20   0  413984  15912  15144 S   0.0   0.5   0:00.14 gsd-col+
   2915 anass     20   0  257028   8300   7916 S   0.0   0.2   0:00.04 gsd-dat+
   2916 anass     20   0  386316   8316   7548 S   0.0   0.2   0:00.18 gsd-hou+
   2917 anass     20   0  412448  15604  14964 S   0.0   0.4   0:00.14 gsd-key+
   2920 anass     20   0  581264  18384  16976 S   0.0   0.5   0:00.23 gsd-med+
   2922 anass     20   0  489628  17924  16644 S   0.0   0.5   0:00.21 gsd-pow+
   2926 anass     20   0  323548   9668   9156 S   0.0   0.3   0:00.04 gsd-pri+
